Year,Population,Violent,Robbery
1960,179323175,288460,107840
1961,182992000,289390,106670
1962,185771000,301510,110860
1963,188483000,316970,116470
1964,191141000,364220,130390
1965,193526000,387390,138690
1966,195576000,430180,157990
1967,197457000,499930,202910
1968,199399000,595010,262840
1969,201385000,661870,298850
1970,203235298,738820,349860
1971,206212000,816500,387700
1972,208230000,834900,376290
1973,209851000,875910,384220
1974,211392000,974720,442400
1975,213124000,1039710,470500
1976,214659000,1004210,427810
1977,216332000,1029580,412610
1978,218059000,1085550,426930
1979,220099000,1208030,480700
1980,225349264,1344520,565840
1981,229146000,1361820,592910
1982,231534000,1322390,553130
1983,233981000,1258090,506570
1984,236158000,1273280,485010
1985,238740000,1328800,497870
1986,240132887,1489169,542775
1987,242282918,1483999,517704
1988,245807000,1566220,542970
1989,248239000,1646040,578330
1990,248709873,1820130,639270
1991,252177000,1911770,687730
1992,255082000,1932270,672480
1993,257908000,1926020,659870
1994,260341000,1857670,618950
1995,262755000,1798790,580510
1996,265228572,1688540,535590
1997,267637000,1634770,498534
1998,270296000,1531044,446625
1999,272690813,1426044,409371
2000,281421906,1425486,408016
2001,285317559,1439480,423557
2002,287973924,1423677,420806
2003,290690788,1383676,414235
2004,293656842,1360088,401470
2005,296507061,1390745,417438
2006,299398484,1418043,447403
2007,301621157,1408337,445125
2008,304374846,1392628,443574
2009,307006550,1325896,408742
2010,309330219,1251248,369089
2011,311587816,1206031,354772
2012,313914040,1214464,354522
